Old,New,Comment
--semantic-spacing-dynamic-1-1200,--semantic-spacing-dynamic-s-1200
--semantic-spacing-dynamic-1-1400,--semantic-spacing-dynamic-s-1400
--semantic-spacing-dynamic-1-1600,--semantic-spacing-dynamic-s-1600
--semantic-spacing-dynamic-1-2400,--semantic-spacing-dynamic-s-2400
--semantic-spacing-dynamic-2-100,--semantic-spacing-dynamic-m-100
--semantic-spacing-dynamic-2-200,--semantic-spacing-dynamic-m-200
--semantic-spacing-dynamic-2-300,--semantic-spacing-dynamic-m-300
--semantic-spacing-dynamic-2-400,--semantic-spacing-dynamic-m-400
--semantic-spacing-dynamic-2-600,--semantic-spacing-dynamic-m-600
--semantic-spacing-dynamic-2-800,--semantic-spacing-dynamic-m-800
--semantic-spacing-dynamic-2-1200,--semantic-spacing-dynamic-m-1200
--semantic-spacing-dynamic-2-1400,--semantic-spacing-dynamic-m-1400
--semantic-spacing-dynamic-2-1600,--semantic-spacing-dynamic-m-1600
--semantic-spacing-dynamic-2-2400,--semantic-spacing-dynamic-m-2400
--semantic-spacing-dynamic-3-100,--semantic-spacing-dynamic-l-100
--semantic-spacing-dynamic-3-200,--semantic-spacing-dynamic-l-200
--semantic-spacing-dynamic-3-300,--semantic-spacing-dynamic-l-300
--semantic-spacing-dynamic-3-400,--semantic-spacing-dynamic-l-400
--semantic-spacing-dynamic-3-600,--semantic-spacing-dynamic-l-600
--semantic-spacing-dynamic-3-800,--semantic-spacing-dynamic-l-800
--semantic-spacing-dynamic-3-1200,--semantic-spacing-dynamic-l-1200
--semantic-spacing-dynamic-3-1400,--semantic-spacing-dynamic-l-1400
--semantic-spacing-dynamic-3-1600,--semantic-spacing-dynamic-l-1600
--semantic-spacing-dynamic-3-2400,--semantic-spacing-dynamic-l-2400
--semantic-border-radius-action-s,--semantic-border-radius-s
--semantic-border-radius-action-m,--semantic-border-radius-m
--semantic-border-radius-surface-s,--semantic-border-radius-s
--semantic-border-radius-surface-m,--semantic-border-radius-m
--semantic-border-radius-surface-l,--semantic-border-radius-l
--semantic-motion-duration-fast-100,--semantic-motion-duration-static-fast
--semantic-motion-duration-slow-250,--semantic-motion-duration-static-medium
--semantic-elevation-100-1-x,--semantic-dimension-elevation-core-100-x
--semantic-elevation-100-1-y,--semantic-dimension-elevation-core-100-y
--semantic-elevation-100-1-blur,--semantic-dimension-elevation-core-100-blur
--semantic-elevation-100-1-spread,--semantic-dimension-elevation-core-100-spread
--semantic-elevation-100-2-x,--semantic-dimension-elevation-cast-100-x
--semantic-elevation-100-2-y,--semantic-dimension-elevation-cast-100-y
--semantic-elevation-100-2-blur,--semantic-dimension-elevation-cast-100-blur
--semantic-elevation-100-2-spread,--semantic-dimension-elevation-cast-100-spread
