Old,New,Comment
--semantic-dimension-elevation-cast-500-x,--semantic-dimension-shadow-second-500-x
--semantic-dimension-elevation-cast-500-y,--semantic-dimension-shadow-second-500-y
--semantic-dimension-elevation-core-100-blur,--semantic-dimension-shadow-first-100-blur
--semantic-dimension-elevation-core-100-spread,--semantic-dimension-shadow-first-100-spread
--semantic-dimension-elevation-core-100-x,--semantic-dimension-shadow-first-100-x
--semantic-dimension-elevation-core-100-y,--semantic-dimension-shadow-first-100-y
--semantic-dimension-elevation-core-200-blur,--semantic-dimension-shadow-first-200-blur
--semantic-dimension-elevation-core-200-spread,--semantic-dimension-shadow-first-200-spread
--semantic-dimension-elevation-core-200-x,--semantic-dimension-shadow-first-200-x
--semantic-dimension-elevation-core-200-y,--semantic-dimension-shadow-first-200-y
--semantic-dimension-elevation-core-300-blur,--semantic-dimension-shadow-first-300-blur
--semantic-dimension-elevation-core-300-spread,--semantic-dimension-shadow-first-300-spread
--semantic-dimension-elevation-core-300-x,--semantic-dimension-shadow-first-300-x
--semantic-dimension-elevation-core-300-y,--semantic-dimension-shadow-first-300-y
--semantic-dimension-elevation-core-400-blur,--semantic-dimension-shadow-first-400-blur
--semantic-dimension-elevation-core-400-spread,--semantic-dimension-shadow-first-400-spread
--semantic-dimension-elevation-core-400-x,--semantic-dimension-shadow-first-400-x
--semantic-dimension-elevation-core-400-y,--semantic-dimension-shadow-first-400-y
--semantic-dimension-elevation-core-500-blur,--semantic-dimension-shadow-first-500-blur
--semantic-dimension-elevation-core-500-spread,--semantic-dimension-shadow-first-500-spread
--semantic-dimension-elevation-core-500-x,--semantic-dimension-shadow-first-500-x
--semantic-dimension-elevation-core-500-y,--semantic-dimension-shadow-first-500-y
--semantic-elevation-100,--semantic-shadow-100
--semantic-elevation-200,--semantic-shadow-200
--semantic-elevation-300,--semantic-shadow-300
--semantic-elevation-400,--semantic-shadow-400
--semantic-elevation-500,--semantic-shadow-500
--semantic-focus-offset,--semantic-offset-all-focus
--semantic-font-size-utility-indication,
--semantic-font-weight-utility-indication,
--semantic-internal-color-elevation-shadow,--semantic-internal-color-shadow-base
--semantic-letter-spacing-utility-indication,
--semantic-line-height-utility-indication,
--semantic-max-width-text,
--semantic-motion-curves-default-change-x1,--semantic-easing-coordinate-default-change-x1
--semantic-motion-curves-default-change-x2,--semantic-easing-coordinate-default-change-x2
--semantic-motion-curves-default-change-y1,--semantic-easing-coordinate-default-change-y1
--semantic-motion-curves-default-change-y2,--semantic-easing-coordinate-default-change-y2
--semantic-motion-curves-default-enter-x1,--semantic-easing-coordinate-default-enter-x1
--semantic-motion-curves-default-enter-x2,--semantic-easing-coordinate-default-enter-x2
--semantic-motion-curves-default-enter-y1,--semantic-easing-coordinate-default-enter-y1
--semantic-motion-curves-default-enter-y2,--semantic-easing-coordinate-default-enter-y2
--semantic-motion-curves-default-exit-x1,--semantic-easing-coordinate-default-exit-x1
--semantic-motion-curves-default-exit-x2,--semantic-easing-coordinate-default-exit-x2
--semantic-motion-curves-default-exit-y1,--semantic-easing-coordinate-default-exit-y1
--semantic-motion-curves-default-exit-y2,--semantic-easing-coordinate-default-exit-y2
--semantic-motion-curves-enter-change-x1,--semantic-easing-coordinate-enter-change-x1
--semantic-motion-curves-enter-change-x2,--semantic-easing-coordinate-enter-change-x2
--semantic-motion-curves-enter-change-y1,--semantic-easing-coordinate-enter-change-y1
--semantic-motion-curves-enter-change-y2,--semantic-easing-coordinate-enter-change-y2
--semantic-motion-curves-exit-change-x1,--semantic-easing-coordinate-exit-change-x1
--semantic-motion-curves-exit-change-x2,--semantic-easing-coordinate-exit-change-x2
--semantic-motion-curves-exit-change-y1,--semantic-easing-coordinate-exit-change-y1
--semantic-motion-curves-exit-change-y2,--semantic-easing-coordinate-exit-change-y2
--semantic-motion-duration-dynamic-medium-to-fast,--semantic-duration-dynamic-medium-to-fast
--semantic-motion-duration-dynamic-slow-to-fast,--semantic-duration-dynamic-slow-to-fast
--semantic-motion-duration-dynamic-slow-to-medium,--semantic-duration-dynamic-slow-to-medium
--semantic-motion-duration-static-fast,--semantic-duration-static-fast
--semantic-motion-duration-static-medium,--semantic-duration-static-medium
--semantic-motion-duration-static-modifier-medium-to-fast,--semantic-duration-static-modifier-medium-to-fast
--semantic-motion-duration-static-modifier-slow-to-fast,--semantic-duration-static-modifier-slow-to-fast
--semantic-motion-duration-static-modifier-slow-to-medium,--semantic-duration-static-modifier-slow-to-medium
--semantic-motion-duration-static-slow,--semantic-duration-static-slow
--semantic-motion-easing-default-change,--semantic-easing-default-change
--semantic-motion-easing-default-enter,--semantic-easing-default-enter
--semantic-motion-easing-default-exit,--semantic-easing-default-exit
--semantic-motion-transition-focus-duration,--semantic-transition-focus-duration
--semantic-motion-transition-focus-easing,--semantic-transition-focus-easing
--semantic-size-component-l,--semantic-size-component-1600
--semantic-size-component-m,--semantic-size-component-1200
--semantic-size-component-s,--semantic-size-component-1000
